date,weights,portfolio_return,prediction,actual_return
2021-04-05,{'primary_asset': np.float32(0.02)},-0.0013199303667161474,0.033980154,-0.09021183693989482
2021-04-06,{'primary_asset': np.float32(0.02)},-0.0015989536496201693,0.04473719,-0.09836927525087709
2021-04-07,{'primary_asset': np.float32(0.02)},-0.0016882428264243722,0.044040587,-0.07901211199738647
2021-04-08,{'primary_asset': np.float32(0.02)},-0.0016366739735344566,0.048717707,-0.04311687333608142
2021-04-09,{'primary_asset': np.float32(0.02)},-0.001597264541993221,0.038535886,-0.06360604697223643
2021-04-12,{'primary_asset': np.float32(0.02)},-0.0014805077646352152,0.037516233,-0.061022641947963946
2021-04-13,{'primary_asset': np.float32(0.02)},-0.0013314028917416974,0.040651485,-0.061093056194309214
2021-04-14,{'primary_asset': np.float32(0.02)},-0.001174720065808913,0.032725193,-0.03984140463865687
2021-04-15,{'primary_asset': np.float32(0.02)},-0.0010993501464974878,0.032878008,-0.024274393087062838
2021-04-16,{'primary_asset': np.float32(0.02)},-0.0009363877061442716,0.03865414,-0.022865435973308777
2021-04-19,{'primary_asset': np.float32(0.02)},-0.0008664473239531335,0.0369346,-0.043537546009357074
2021-04-20,{'primary_asset': np.float32(0.02)},-0.0007090854946508511,0.04677955,-0.02175259798941085
2021-04-21,{'primary_asset': np.float32(0.02)},-0.000669825177314808,0.03424291,-0.030026325085261964
2021-04-22,{'primary_asset': np.float32(0.02)},-0.0007220933482688924,0.043875284,-0.03734143611765512
2021-04-23,{'primary_asset': np.float32(0.02)},-0.0008312307394731643,0.04419706,-0.050149784384229484
2021-04-26,{'primary_asset': np.float32(0.02)},-0.0008014098845466122,0.037409417,-0.03608233211108199
2021-04-27,{'primary_asset': np.float32(0.02)},-0.0007932768654957365,0.050006595,-0.019719343181245165
2021-04-28,{'primary_asset': np.float32(0.02)},-0.0007995251882219425,0.051805537,-0.03158840580172866
2021-04-29,{'primary_asset': np.float32(0.02)},-0.0006870041287918065,0.0579936,-0.00921117063136069
2021-04-30,{'primary_asset': np.float32(0.02)},-0.00044780470572589525,0.05816553,0.009650072718879276
2021-05-03,{'primary_asset': np.float32(0.02)},-0.0004560720285273064,0.060514763,-0.03814916285763206
2021-05-04,{'primary_asset': np.float32(0.02)},-0.00036698256267242045,0.055815976,0.002553023780302535
2021-05-05,{'primary_asset': np.float32(0.02)},-0.00016214354198710305,0.013285661,0.019621350514227934
2021-05-06,{'primary_asset': np.float32(0.02)},-4.972092733084876e-05,0.0143914465,0.01889448366091321
2021-05-07,{'primary_asset': np.float32(0.02)},-0.00015200325134347064,0.01822994,-0.015920508855823228
